StationName,LinkNo,TypeNo,AreaType,DLY,AM,PM,PM_PKHR,OP
CS02879,,1,Urban,278.8564566666667,37.40737,57.842330000000004,16.72125,183.60675666666668
CS02926,,31,Urban,86.58889000000002,11.759540000000001,20.962355000000002,9.24172,53.86699500000002
CS03253,,1,Urban,19.696039999999996,2.5389,4.2133,0.5605600000000001,12.943839999999998
CS03347,,1,Urban,172.17321333333334,21.804206666666666,38.62859,12.787320000000001,111.74041666666668
CS03650,,31,Urban,287.1133200000001,39.7141,62.97774000000001,22.578540000000004,184.4214800000001
CS03774,,1,Urban,169.58396,30.599660000000004,32.87466,12.64718,106.10963999999998
CS04191,,1,Urban,269.397765,33.322835,58.105320000000006,15.803515,177.96961
CS04395,,1,Urban,53.97452666666668,4.674973333333334,15.815193333333337,4.300660000000001,33.48436000000001
CS04838,,71,Urban,253.86119999999997,40.3488,45.3924,10.9278,168.11999999999995
CS05031,,1,Urban,37.666720000000005,3.0994600000000005,9.261980000000001,3.36336,25.305280000000003
CS05340,,1,Urban,72.42872,11.81908,17.94884,6.715800000000001,42.660799999999995
CS05950,,25,Urban,1322.8089,194.5587,269.39009999999996,81.7383,858.8601
CS06057,,71,Urban,153.73680000000002,25.0302,28.8783,2.4759,99.82830000000001
CS06098,,1,Urban,237.01678,17.926090000000002,77.42644,29.959020000000002,141.66424999999998
CS06341,,1,Urban,207.99627333333333,41.162333333333336,42.59346,14.177193333333335,124.24047999999999
CS06351,,1,Urban,209.14894000000004,24.1332,53.33328,17.410120000000003,131.68246000000005
CS06426,,31,Urban,449.67297600000006,56.9694,92.784564,33.82152,299.91901200000007
CS06602,,1,Urban,26.400920000000003,3.09218,5.06324,2.24952,18.245500000000003
CS06634,,1,Urban,122.18206000000002,14.3325,22.740900000000003,7.862400000000001,85.10866000000001
CS06652,,1,Urban,56.136080000000014,6.4519,10.94002,3.3706400000000003,38.74416000000001
CS07012,,1,Urban,341.1753800000001,60.429460000000006,51.36586,16.83136,229.38006000000007
CS07082,,1,Urban,96.3963,12.54799,19.90625,6.1661600000000005,63.94206
CS07285,,71,Urban,618.7899000000001,92.18430000000001,118.7457,32.4921,407.8599000000001
CS07552,,1,Urban,157.23738333333338,37.18199333333333,28.672583333333336,10.238106666666667,91.38280666666671
CS07587,,1,Urban,192.0852266666667,20.41949,43.716703333333335,17.593333333333334,127.94903333333338
CS07829,,1,Urban,102.75174000000003,18.37836,23.390639999999998,10.02456,60.98274000000003
CS09154,,25,Urban,383.1875950000001,60.02048500000001,86.04309,25.654055,237.1240200000001
CS09289,,1,Urban,220.6932,40.451319999999996,44.64278,14.31066,135.59909999999996
CS10725,,31,Urban,215.55829000000006,28.510580000000004,46.09892,18.62883,140.94879000000006
CS11345,,1,Urban,533.81874,81.3813,96.36627,27.832350000000005,356.07117000000005
CS11682,,1,Urban,169.62915666666672,17.880589999999998,33.17071333333333,10.212323333333332,118.57785333333337
CS12189,,71,Urban,717.8043000000001,106.90950000000001,147.4365,44.3493,463.4583000000001
CS12306,,1,Urban,227.45631999999998,17.977960000000003,59.78518,22.46972,149.69317999999998
CS12489,,42,Urban,235.22573000000003,36.67766666666667,48.159335,16.576975,150.38872833333335
Calhoun Rd E of Best,21210.0,31,Urban,47.31999999999998,5.915,14.559999999999999,6.37,26.84499999999998
Campbell Lake Rd SE of Heart Lake Rd,18540.0,62,Urban,123.22500000000002,18.135,26.040000000000003,8.370000000000001,79.05000000000001
Cascade River Rd begin of Gravel,0.0,0,Urban,16.5,2.0,5.0,3.0,9.5
Cedardale N of Ander,15449.0,62,Urban,142.755,23.25,37.665000000000006,13.02,81.83999999999999
Cedardale Rd N of Milltown,9544.0,32,Urban,73.35000000000001,8.55,17.55,7.65,47.250000000000014
Cedardale Rd N of Old 99 South,16163.0,62,Urban,466.65,61.2,112.5,41.85,292.95
Cedardale Rd N of SR534,9636.0,32,Urban,162.0,19.8,36.9,18.0,105.29999999999998
Cedardale Rd S of Old 99 South,16169.0,32,Urban,227.25000000000003,25.65,54.0,24.75,147.60000000000002
Cedardale Rd S of SR534,13887.0,32,Urban,79.2,8.55,19.799999999999997,8.1,50.85000000000001
Chilberg Rd E of LaConner Whitney,17813.0,62,Urban,223.2,30.225,54.405,17.67,138.57
Chilberg Rd W of Best,21213.0,31,Urban,139.68500000000003,21.384999999999998,29.574999999999996,11.83,88.72500000000005
Christianson S of SR20,18583.0,62,Urban,72.00000000000001,7.65,14.400000000000002,7.2,49.95
Chuckanut Dr W of B BLVD,15240.0,63,Urban,607.1999999999999,89.24000000000001,129.26,38.64,388.69999999999993
Collins Road N of Cook Rd,1249.0,52,Urban,60.75,8.100000000000001,15.749999999999998,5.85,36.9
Collins Road S of Cook Rd,20704.0,62,Urban,61.65000000000001,6.75,17.1,5.85,37.80000000000001
Colony Mountain Dr E of Colony Rd,0.0,0,Urban,21.5,4.0,4.5,2.0,13.0
Colony Rd E of Ershig,17433.0,32,Urban,33.25,3.8,7.125,3.8000000000000003,22.325
Colony Rd S of Lake Samish Rd,21242.0,32,Urban,54.28,5.98,12.420000000000002,5.0600000000000005,35.879999999999995
Colony Rd W of Ershig,20124.0,52,Urban,47.025,5.225,12.35,4.75,29.449999999999996
Colony Rd W of RRxing,21240.0,52,Urban,26.6,2.85,6.6499999999999995,1.4249999999999998,17.1
Commercial N of 11th,20466.0,82,Urban,196.20000000000002,18.45,46.8,14.399999999999999,130.95000000000005
Commercial btwn 36 & 37,3829.0,82,Urban,227.70000000000002,27.0,68.4,34.2,132.3
Conway Frontage Rd N of Peter Johnson,2312.0,32,Urban,184.05,25.65,51.3,17.55,107.10000000000001
Conway Frontage Rd S of Peter Johnson,21276.0,32,Urban,220.95000000000002,28.8,53.10000000000001,20.7,139.05
Cook @ City Limits,20153.0,32,Urban,1007.4749999999998,130.625,211.85,71.725,664.9999999999998
Cook Rd E of Old Hwy 99 North,219.0,62,Urban,1074.5600000000002,142.60000000000002,232.3,74.52000000000001,699.6600000000001
Cook Rd E of SR 11,21056.0,32,Urban,192.045,23.25,39.525000000000006,11.625,129.26999999999998
Cook Rd W of City Limits,20153.0,32,Urban,1025.5500000000002,116.55000000000001,211.95,63.45,697.0500000000002
Cook Rd W of Collins,224.0,33,Urban,425.2500000000001,52.199999999999996,99.0,23.85,274.0500000000001
Cook Rd W of Old 99 North,218.0,62,Urban,1475.6800000000003,180.32,256.68,79.12,1038.6800000000003
Cook Rd W of SR 11,17494.0,62,Urban,154.845,17.205000000000002,40.455,12.555,97.18499999999999
D Ave btwn 29th & 30th,20523.0,72,Urban,148.5,20.25,29.700000000000003,7.65,98.55
D Avenue North of 12th Street,6296.0,82,Urban,4.05,0.0,1.8,1.8,2.25
D Avenue South of 12th Street,18396.0,72,Urban,172.35000000000005,27.9,34.65,14.399999999999999,109.80000000000004
D'arcy W of Farm to Market Rd,17478.0,32,Urban,63.17499999999999,7.6,16.625,4.75,38.94999999999999
District Line Rd N of Anderson Rd,17100.0,62,Urban,34.96000000000001,5.98,10.12,3.68,18.860000000000007
Division E of 15th,3456.0,83,Urban,272.48999999999995,29.76,71.61,26.04,171.11999999999995
Division E of 18th,3459.0,83,Urban,254.81999999999996,28.830000000000002,70.215,23.25,155.77499999999995
Division E of 30th,2461.0,81,Urban,706.8000000000001,174.84,138.57,39.06,393.39000000000004
Division E of Laven,1501.0,81,Urban,338.985,38.13,77.19,26.04,223.66500000000002
Division E of Waugh,3425.0,81,Urban,251.56500000000008,39.06,56.730000000000004,13.02,155.7750000000001
Division W of 15th,18001.0,83,Urban,161.355,25.575,46.50000000000001,13.020000000000001,89.28
Division W of 18th,18053.0,83,Urban,408.2699999999999,39.99,75.795,26.505000000000003,292.4849999999999
Division W of 30th,2460.0,81,Urban,270.16499999999996,37.665000000000006,66.03,19.065,166.46999999999994
Division-W of Laven,3403.0,83,Urban,389.67,39.99,99.04500000000002,27.435000000000002,250.635
Division-wofwaugh,2074.0,81,Urban,300.39000000000004,44.175,68.82000000000001,21.39,187.39500000000004
Dodge Valley Rd E of Best,0.0,0,Urban,8.0,2.0,0.5,0.0,5.5
Dodge Valley Rd S of Chilberg,13671.0,52,Urban,64.155,11.83,15.925,5.915,36.400000000000006
Dodge Valley Rd W of Best,21209.0,52,Urban,50.959999999999994,6.824999999999999,12.285,4.55,31.84999999999999
E State City Limits,2777.0,82,Urban,195.57,23.32,54.589999999999996,16.43,117.66
East Hickox E of Cedardale,814.0,62,Urban,179.99999999999997,31.049999999999997,36.9,8.1,112.04999999999998
EdmursofF&S,21284.0,82,Urban,202.82499999999993,35.625,46.075,17.575,121.12499999999993
Ershig Rd N of Allen Rd,1318.0,62,Urban,92.15,14.249999999999998,19.474999999999998,6.6499999999999995,58.42500000000001
Ershig Rd N of Bow Hill,17063.0,32,Urban,59.37500000000001,9.975,15.2,7.6,34.2
Ershig Rd N of SR 11,17501.0,62,Urban,31.350000000000005,2.8499999999999996,9.5,3.8,19.000000000000007
Ershig Rd S of Bow Hill Rd,17431.0,32,Urban,78.37499999999997,15.2,15.674999999999999,7.6,47.49999999999997
Ershig Rd S of Colony,17064.0,32,Urban,48.925,6.65,11.875,6.6499999999999995,30.4
EstateEtwnshp,2770.0,82,Urban,163.39999999999998,22.325000000000003,45.6,17.575,95.475
F & S Grade Rd E of Collins,12916.0,52,Urban,82.80000000000001,11.5,26.22,11.040000000000001,45.08000000000001
F & S Grade Rd S of Prairie Rd,12905.0,52,Urban,40.940000000000005,3.22,11.5,5.0600000000000005,26.220000000000006
F & S Grade Rd W of Kelleher,20702.0,52,Urban,81.88000000000001,12.42,20.240000000000002,7.360000000000001,49.220000000000006
Fairhaven E of Walnut,1378.0,82,Urban,260.36,33.58,67.16,21.62,159.62000000000003
Farm to Market N of Bayview Edison,1824.0,32,Urban,93.57499999999996,11.875,30.4,9.024999999999999,51.29999999999996
Farm to Market N of D'arcy,17089.0,32,Urban,65.54999999999998,10.45,17.575,4.275,37.52499999999998
Farm to Market N of Josh Wilson,17070.0,32,Urban,195.765,27.435000000000002,47.895,13.950000000000001,120.43499999999997
Farm to Market N of SR20,18630.0,32,Urban,437.4749999999999,60.325,105.925,29.924999999999997,271.2249999999999
Farm to Market S of Allen West,1888.0,32,Urban,132.99999999999997,17.099999999999998,28.975,7.6,86.92499999999998
Farm to Market S of Bayview Edison,21042.0,32,Urban,64.6,9.975,18.525,5.225,36.099999999999994
Farm to Market S of D'arcy,1887.0,32,Urban,130.62499999999997,17.575,29.924999999999997,8.55,83.12499999999997
Farm to Market S of Josh Wilson,1823.0,32,Urban,256.215,30.69,79.05000000000001,30.225,146.47499999999997
Ferry E of Reed,977.0,82,Urban,101.65,12.825,22.799999999999997,4.75,66.025
Ferry Wof Reed,17130.0,82,Urban,129.67499999999998,17.575,29.450000000000003,7.125,82.64999999999998
Fidalgo Bay NW of Y,20932.0,62,Urban,45.45,4.5,12.150000000000002,4.05,28.8
Fir E of 30th,2068.0,81,Urban,141.36,22.785,37.2,12.555,81.37500000000001
Fir E of Laventure,3405.0,81,Urban,160.89000000000001,23.25,39.525000000000006,14.415,98.11500000000001
Fir Island Rd E of Pioneer Hwy (EB),21274.0,62,Urban,667.485,94.185,147.42000000000002,41.86,425.87999999999994
Fir Island Rd SW of Best Rd,20964.0,52,Urban,289.8349999999999,41.86,70.07000000000001,22.295,177.90499999999992
Fir Island Rd W of Pioneer Hwy,21277.0,62,Urban,404.49500000000006,45.045,97.825,34.58,261.62500000000006
Fir St E of 18th St,2077.0,81,Urban,195.76500000000001,27.435,52.080000000000005,21.39,116.25
Fir St W of 15th,21140.0,81,Urban,198.09,38.595,39.525000000000006,13.95,119.97
Fir W of 30th,2072.0,81,Urban,121.83000000000001,22.32,26.505000000000003,7.905000000000001,73.00500000000002
Fir W of Laventure,18040.0,81,Urban,176.70000000000005,23.25,43.71,16.275,109.74000000000004
Fir West of 18th,3402.0,81,Urban,248.31000000000003,36.735,62.31,26.970000000000002,149.26500000000004
Francis Rd N of Swan Rd,21079.0,62,Urban,184.45999999999998,22.080000000000002,48.300000000000004,12.420000000000002,114.07999999999996
Francis Rd S of Swan Rd,21129.0,81,Urban,156.40000000000003,13.8,40.94,12.420000000000002,101.66000000000003
Francis Rd W of SR9,21251.0,32,Urban,153.32000000000002,17.32,38.63,9.540000000000001,97.37000000000003
FrancisN of Hoag,21077.0,81,Urban,248.30999999999997,38.13,59.52000000000001,21.855,150.65999999999997
Freeway N of Cameron,21259.0,62,Urban,346.425,53.475,74.86500000000001,22.32,218.08499999999998
Freeway N ofColl Way,17882.0,83,Urban,438.845,43.43,108.07,35.35,287.345
Freeway S of CollWay,15627.0,62,Urban,575.6999999999999,69.69,153.52,51.51,352.4899999999999
Friday Creek Rd N of Old Hwy 99 North,0.0,0,Urban,25.5,3.5,3.5,1.0,18.5
Friday Creek Rd S of Old Hwy 99,0.0,0,Urban,18.0,1.5,5.5,2.5,11.0
Fruitdale N of SR20,17610.0,62,Urban,208.82000000000002,21.73,62.01,17.490000000000002,125.08000000000004
Fruitdale S of SR20,2781.0,62,Urban,170.66,19.080000000000002,50.879999999999995,11.66,100.69999999999999
Fulton E of 4th,21262.0,92,Urban,105.54500000000002,17.17,30.805,10.605,57.570000000000014
Garden of Eden @RR,21380.0,62,Urban,97.52000000000002,7.420000000000001,23.32,7.95,66.78000000000003
Gardner S of SR20,1874.0,82,Urban,53.82000000000001,5.0600000000000005,10.58,2.7600000000000002,38.18000000000001
George Hopper E of B Blvd,17765.0,63,Urban,395.6,61.18000000000001,83.72,37.26,250.70000000000002
George Hopper E of Bouslog,541.0,62,Urban,202.4,30.82,44.62,15.18,126.96000000000001
Gibralter Rd N of Satterlee,14249.0,52,Urban,131.595,27.900000000000002,32.55,7.44,71.145
Gibralter Rd S of Satterlee,3987.0,52,Urban,98.58000000000001,18.6,22.320000000000004,6.510000000000001,57.66000000000001
Gilkey E of B BLVD,20201.0,82,Urban,142.60000000000002,12.879999999999999,40.02,17.020000000000003,89.70000000000002
Goldenrod N of Andis,3065.0,83,Urban,346.38,50.6,78.66,27.14,217.11999999999998
Goldenrod N of Fisher Ln,936.0,63,Urban,230.00000000000003,38.18,56.120000000000005,20.240000000000002,135.70000000000002
Green Rd S of Kelleher,138.0,72,Urban,3.68,0.0,0.46,0.46,3.22
Greenleaf E of Spruce,1836.0,82,Urban,39.1,5.06,9.66,3.2199999999999998,24.38
Grip Rd at Railroad crossing,20634.0,52,Urban,34.50000000000001,3.68,7.82,1.38,23.000000000000007
Gunderson Rd E of Baker Heights Rd,21088.0,52,Urban,50.02,2.74,10.899999999999999,4.529999999999999,36.38
Gunderson Rd E of SR 9,3686.0,52,Urban,38.62,3.18,6.34,3.17,29.099999999999998
Gunderson Rd W of Baker Heights Rd,3686.0,52,Urban,73.65,5.01,16.34,5.89,52.3
H Ave N of 41st,18456.0,72,Urban,41.399999999999984,5.4,8.100000000000001,3.1500000000000004,27.899999999999984
H Ave S of 41st,18521.0,62,Urban,36.00000000000001,6.300000000000001,7.200000000000001,1.35,22.500000000000007
Hartford S of Oakes,0.0,0,Urban,58.5,8.0,11.0,3.5,39.5
Heart Lake Rd North of Rosario,14699.0,62,Urban,38.13,2.325,9.3,2.79,26.505
Higgins Airport Way N of Peterson Rd,18636.0,62,Urban,165.54000000000002,17.67,38.13,8.370000000000001,109.74000000000001
Higgins Airport Way S of Josh Wilson,20517.0,62,Urban,113.46000000000001,7.905000000000001,29.295,9.3,76.26
Higgins Airport Way S of Peterson Rd,20513.0,32,Urban,226.92000000000004,20.925,70.215,13.020000000000001,135.78000000000003
Hoag Rd E of Urban,3254.0,82,Urban,725.075,66.445,173.63,61.11,485.0000000000001
Hoag Rd W of Urban,3274.0,82,Urban,291.485,24.735,76.145,25.22,190.60500000000002
Hoag W of Laventure,3253.0,82,Urban,437.1,48.36,110.20500000000001,41.85,278.53499999999997
Hoehn @ E City Limit,1084.0,82,Urban,80.56000000000003,11.129999999999999,22.79,7.42,46.640000000000036
Jasper Way btwn Marion & Pennsylvania,20875.0,82,Urban,49.50000000000001,6.75,10.8,4.95,31.950000000000006
John Liner W of SR9,1270.0,82,Urban,35.51000000000002,5.830000000000001,10.600000000000001,4.24,19.080000000000016
Josh Wilson Rd E of Avon Allen,20490.0,32,Urban,330.6149999999999,43.71,98.11500000000001,33.015,188.7899999999999
Josh Wilson Rd E of Bayview Edison,2689.0,82,Urban,34.41,6.975,9.3,3.2550000000000003,18.134999999999994
Josh Wilson Rd E of Farm to Market,17085.0,32,Urban,224.59500000000006,30.225,62.775000000000006,25.110000000000003,131.59500000000006
Josh Wilson Rd E of Higgins Airport Way,17081.0,62,Urban,306.43500000000006,39.06,80.445,23.25,186.93000000000006
Josh Wilson Rd W of Avon Allen,20487.0,32,Urban,332.01,48.36,91.60499999999999,26.04,192.045
Josh Wilson Rd W of Farm to Market,21046.0,32,Urban,68.82000000000001,10.23,19.064999999999998,6.045,39.525000000000006
Josh Wilson Rd W of Higgins Airport Way,20514.0,32,Urban,202.275,29.760000000000005,44.175000000000004,14.415000000000001,128.33999999999997
Kelleher Rd E of Green Rd,12943.0,52,Urban,94.75999999999998,10.58,32.66,11.96,51.51999999999998
Kelleher Rd W of Green Rd,12968.0,52,Urban,131.55999999999997,13.34,47.84,17.02,70.37999999999997
LaConner Whitney Rd N of Roundabout,21214.0,32,Urban,307.58000000000004,40.95,74.165,25.935000000000002,192.46500000000003
LaConner Whitney Rd S of SR20,1007.0,31,Urban,319.4100000000001,56.42,71.89,26.845,191.10000000000008
Lake Cavanaugh E of SR9,21253.0,62,Urban,60.72000000000001,5.52,17.020000000000003,9.66,38.180000000000014
Lake Cavanaugh Rd W of N Shore Rd,0.0,0,Urban,47.5,3.0,15.0,5.0,29.5
Lake Samish Rd W of Old Hwy 99 N,13075.0,62,Urban,345.4599999999999,46.0,64.86,27.14,234.5999999999999
Lake Samish W of Colony Rd,17045.0,62,Urban,309.12,34.5,75.9,26.22,198.72
Lake View Blvd S of W Big Lake Blvd,0.0,0,Urban,60.5,7.5,8.5,3.5,44.5
Laventure N of Div,18036.0,81,Urban,266.90999999999997,30.69,70.68,23.715,165.53999999999996
Laventure N of Fir,3304.0,81,Urban,2459.3850000000007,321.31500000000005,481.74000000000007,212.04000000000002,1656.3300000000006
Laventure N of Sect,20470.0,81,Urban,235.75500000000002,36.735,51.15,19.53,147.87000000000003
Laventure NofCollway,3294.0,81,Urban,300.7000000000001,47.045,68.87,24.735,184.78500000000008
Laventure Rd North of Blackburn,21102.0,81,Urban,37.66500000000001,23.715000000000003,1.86,0.93,12.09000000000001
Laventure S of Div,18109.0,81,Urban,180.42000000000002,16.740000000000002,52.080000000000005,14.88,111.6
Laventure S of Fir,18032.0,81,Urban,431.055,52.545,104.16,35.34,274.35
Laventure S of Hoag,2083.0,81,Urban,383.16,48.825,98.58,29.295,235.75500000000005
Laventure S of Sect,3582.0,81,Urban,412.9200000000001,81.375,73.47,24.18,258.07500000000005
Laventure SofCollWay,3309.0,81,Urban,295.365,35.405,70.32499999999999,20.369999999999997,189.63500000000005
Little Mountain Rd W of West Big Lake Rd,808.0,62,Urban,91.53999999999998,7.82,26.68,8.28,57.03999999999997
Little Mountain Rd W of West Little Mountain Place,21090.0,32,Urban,75.15,8.55,21.150000000000002,8.55,45.45
Little Mtn Rd W of Little Mtn Pl,21090.0,32,Urban,115.9,10.45,26.599999999999998,9.024999999999999,78.85000000000001
Longtime N Sapp,0.0,0,Urban,25.5,0.5,7.5,2.0,17.5
M Ave S of 32nd,20527.0,82,Urban,45.9,5.4,10.8,2.7,29.7
