StationName,LinkNo,TypeNo,AreaType,DLY,AM,PM,PM_PKHR,OP
Division E of Waugh,3425.0,81,Urban,46.03500000000001,14.415000000000001,13.02,0.93,18.600000000000012
Division W of 15th,18001.0,83,Urban,47.430000000000014,13.950000000000001,10.694999999999999,1.395,22.78500000000001
Division W of 18th,18053.0,83,Urban,30.224999999999994,6.9750000000000005,7.4399999999999995,0.93,15.809999999999993
Division W of 30th,2460.0,81,Urban,39.99000000000001,14.880000000000003,11.625,2.325,13.485000000000007
Division-W of Laven,3403.0,83,Urban,34.875,6.045,13.02,1.395,15.809999999999999
Division-wofwaugh,2074.0,81,Urban,38.595,13.02,12.09,2.79,13.485
Dodge Valley Rd E of Best,0.0,0,Urban,1.0,0.0,1.0,0.0,0.0
Dodge Valley Rd S of Chilberg,13671.0,52,Urban,10.465,2.275,1.82,0.0,6.369999999999999
Dodge Valley Rd W of Best,21209.0,52,Urban,5.915,0.91,1.365,0.0,3.6399999999999997
E State City Limits,2777.0,82,Urban,15.370000000000001,2.12,6.890000000000001,1.59,6.359999999999999
East Hickox E of Cedardale,814.0,62,Urban,20.7,3.1500000000000004,5.4,0.45,12.149999999999997
EdmursofF&S,21284.0,82,Urban,21.375,5.225,6.175,2.375,9.974999999999998
Ershig Rd N of Allen Rd,1318.0,62,Urban,9.975000000000001,2.375,3.325,1.425,4.275000000000001
Ershig Rd N of Bow Hill,17063.0,32,Urban,10.924999999999999,2.375,4.75,1.4249999999999998,3.799999999999999
Ershig Rd N of SR 11,17501.0,62,Urban,4.275,1.9,1.4249999999999998,0.475,0.9500000000000006
Ershig Rd S of Bow Hill Rd,17431.0,32,Urban,12.35,1.9,5.7,3.325,4.749999999999999
Ershig Rd S of Colony,17064.0,32,Urban,9.975,2.8499999999999996,5.225,1.9,1.9000000000000004
EstateEtwnshp,2770.0,82,Urban,22.325000000000003,2.85,6.6499999999999995,1.4249999999999998,12.825000000000003
F & S Grade Rd E of Collins,12916.0,52,Urban,15.180000000000001,3.6799999999999997,5.98,4.140000000000001,5.520000000000001
F & S Grade Rd S of Prairie Rd,12905.0,52,Urban,8.280000000000001,1.84,3.6799999999999997,2.76,2.7600000000000016
F & S Grade Rd W of Kelleher,20702.0,52,Urban,9.200000000000001,1.3800000000000001,3.22,2.3000000000000003,4.600000000000001
Fairhaven E of Walnut,1378.0,82,Urban,37.260000000000005,7.82,9.2,3.2199999999999998,20.240000000000006
Farm to Market N of Bayview Edison,1824.0,32,Urban,13.299999999999995,4.275,2.8499999999999996,1.4249999999999998,6.174999999999995
Farm to Market N of D'arcy,17089.0,32,Urban,12.349999999999998,4.2749999999999995,1.9,1.4249999999999998,6.174999999999999
Farm to Market N of Josh Wilson,17070.0,32,Urban,22.319999999999997,6.975,6.51,3.255,8.834999999999997
Farm to Market N of SR20,18630.0,32,Urban,34.675000000000004,8.075,3.8,1.4249999999999998,22.800000000000004
Farm to Market S of Allen West,1888.0,32,Urban,17.575,3.8,2.8499999999999996,1.4249999999999998,10.924999999999999
Farm to Market S of Bayview Edison,21042.0,32,Urban,9.024999999999999,3.8,1.4249999999999998,0.95,3.799999999999999
Farm to Market S of D'arcy,1887.0,32,Urban,20.425000000000004,6.175,3.8,1.4249999999999998,10.450000000000003
Farm to Market S of Josh Wilson,1823.0,32,Urban,24.645,5.58,7.44,2.325,11.624999999999996
Ferry E of Reed,977.0,82,Urban,9.499999999999998,1.9,3.8,2.8499999999999996,3.799999999999998
Ferry Wof Reed,17130.0,82,Urban,11.874999999999998,2.375,4.75,3.325,4.749999999999998
Fidalgo Bay NW of Y,20932.0,62,Urban,2.25,0.45,0.9,0.0,0.9
Fir E of 30th,2068.0,81,Urban,17.669999999999998,6.51,5.115,1.86,6.044999999999998
Fir E of Laventure,3405.0,81,Urban,42.78,9.765,11.625,1.86,21.39
Fir Island Rd E of Pioneer Hwy (EB),21274.0,62,Urban,112.83999999999999,20.02,20.02,5.915,72.8
Fir Island Rd SW of Best Rd,20964.0,52,Urban,45.045,9.1,8.19,3.185,27.755000000000003
Fir Island Rd W of Pioneer Hwy,21277.0,62,Urban,44.58999999999999,7.734999999999999,9.1,4.095,27.75499999999999
Fir St E of 18th St,2077.0,81,Urban,63.70500000000001,21.855000000000004,13.95,1.86,27.90000000000001
Fir St W of 15th,21140.0,81,Urban,79.97999999999999,26.970000000000002,20.925,3.255,32.084999999999994
Fir W of 30th,2072.0,81,Urban,46.035000000000004,10.695,12.09,2.79,23.250000000000004
Fir W of Laventure,18040.0,81,Urban,73.93500000000002,23.25,19.064999999999998,2.325,31.62000000000002
Fir West of 18th,3402.0,81,Urban,57.19500000000001,20.46,15.344999999999999,1.395,21.390000000000008
Francis Rd N of Swan Rd,21079.0,62,Urban,21.620000000000005,5.06,6.4399999999999995,0.92,10.120000000000006
Francis Rd S of Swan Rd,21129.0,81,Urban,30.360000000000007,7.36,8.74,1.84,14.260000000000007
Francis Rd W of SR9,21251.0,32,Urban,13.71,1.83,4.12,0.46,7.760000000000001
FrancisN of Hoag,21077.0,81,Urban,40.92000000000001,10.23,6.045,0.93,24.64500000000001
Freeway N of Cameron,21259.0,62,Urban,54.870000000000005,8.835,13.950000000000001,6.9750000000000005,32.085
Freeway N ofColl Way,17882.0,83,Urban,58.075,9.09,10.605,6.0600000000000005,38.379999999999995
Freeway S of CollWay,15627.0,62,Urban,73.225,14.139999999999999,14.645,3.03,44.44
Friday Creek Rd N of Old Hwy 99 North,0.0,0,Urban,6.0,1.0,2.5,0.5,2.5
Friday Creek Rd S of Old Hwy 99,0.0,0,Urban,5.5,1.0,2.0,0.5,2.5
Fruitdale N of SR20,17610.0,62,Urban,31.27,3.18,9.01,0.53,19.08
Fruitdale S of SR20,2781.0,62,Urban,26.500000000000004,5.300000000000001,7.95,2.6500000000000004,13.250000000000004
Fulton E of 4th,21262.0,92,Urban,37.87499999999999,10.605,8.08,1.01,19.18999999999999
Garden of Eden @RR,21380.0,62,Urban,10.6,1.06,3.18,1.59,6.359999999999999
Gardner S of SR20,1874.0,82,Urban,5.0600000000000005,1.84,0.0,0.0,3.2200000000000006
George Hopper E of B Blvd,17765.0,63,Urban,77.73999999999997,11.04,26.22,11.040000000000001,40.47999999999996
George Hopper E of Bouslog,541.0,62,Urban,44.16000000000001,5.06,7.359999999999999,3.2199999999999998,31.74000000000001
Gibralter Rd N of Satterlee,14249.0,52,Urban,33.01500000000001,9.3,13.95,0.93,9.765000000000008
Gibralter Rd S of Satterlee,3987.0,52,Urban,31.155000000000005,8.835,12.09,0.93,10.230000000000004
Gilkey E of B BLVD,20201.0,82,Urban,12.880000000000003,4.6000000000000005,3.68,0.0,4.600000000000001
Goldenrod N of Andis,3065.0,83,Urban,60.26000000000002,11.5,8.280000000000001,1.38,40.48000000000002
Goldenrod N of Fisher Ln,936.0,63,Urban,34.50000000000001,7.82,7.36,1.8399999999999999,19.320000000000007
Green Rd S of Kelleher,138.0,72,Urban,0.46,0.0,0.46,0.46,0.0
Greenleaf E of Spruce,1836.0,82,Urban,3.68,0.92,1.3800000000000001,0.46,1.3800000000000001
Grip Rd at Railroad crossing,20634.0,52,Urban,8.74,2.3,2.3000000000000003,0.92,4.140000000000001
Gunderson Rd E of Baker Heights Rd,21088.0,52,Urban,9.100000000000001,1.38,2.2800000000000002,0.92,5.440000000000001
Gunderson Rd E of SR 9,3686.0,52,Urban,6.840000000000001,1.3800000000000001,2.74,0.92,2.7200000000000006
Gunderson Rd W of Baker Heights Rd,3686.0,52,Urban,6.8500000000000005,0.92,2.2800000000000002,0.46,3.6500000000000004
H Ave N of 41st,18456.0,72,Urban,1.35,0.45,0.0,0.0,0.9000000000000001
H Ave S of 41st,18521.0,62,Urban,0.45,0.0,0.0,0.0,0.45
Hartford S of Oakes,0.0,0,Urban,2.0,0.0,0.0,0.0,2.0
Heart Lake Rd North of Rosario,14699.0,62,Urban,2.325,0.93,0.93,0.0,0.46499999999999997
Higgins Airport Way N of Peterson Rd,18636.0,62,Urban,15.344999999999999,3.255,3.72,2.325,8.37
Higgins Airport Way S of Josh Wilson,20517.0,62,Urban,13.02,2.79,5.115,0.465,5.115
Higgins Airport Way S of Peterson Rd,20513.0,32,Urban,23.249999999999996,4.65,4.65,2.325,13.949999999999994
Hoag Rd E of Urban,3254.0,82,Urban,40.739999999999995,5.335,11.639999999999999,3.395,23.764999999999993
Hoag Rd W of Urban,3274.0,82,Urban,47.04499999999999,5.82,8.73,1.455,32.49499999999999
Hoag W of Laventure,3253.0,82,Urban,33.01499999999999,6.510000000000001,7.905,2.79,18.59999999999999
Hoehn @ E City Limit,1084.0,82,Urban,4.24,1.06,2.12,1.06,1.06
Jasper Way btwn Marion & Pennsylvania,20875.0,82,Urban,4.050000000000001,0.45,0.9,0.45,2.7000000000000006
John Liner W of SR9,1270.0,82,Urban,16.96,6.36,5.300000000000001,1.06,5.300000000000001
Josh Wilson Rd E of Avon Allen,20490.0,32,Urban,42.315000000000005,12.555000000000001,14.88,3.72,14.880000000000004
Josh Wilson Rd E of Bayview Edison,2689.0,82,Urban,5.114999999999999,1.395,1.395,0.0,2.3249999999999993
Josh Wilson Rd E of Farm to Market,17085.0,32,Urban,33.94500000000001,6.045,10.23,2.325,17.670000000000005
Josh Wilson Rd E of Higgins Airport Way,17081.0,62,Urban,34.875,7.44,9.765,0.93,17.669999999999998
Josh Wilson Rd W of Avon Allen,20487.0,32,Urban,53.474999999999994,14.879999999999999,18.6,3.72,19.994999999999997
Josh Wilson Rd W of Farm to Market,21046.0,32,Urban,15.344999999999999,2.79,4.1850000000000005,0.465,8.37
Josh Wilson Rd W of Higgins Airport Way,20514.0,32,Urban,22.319999999999997,3.2550000000000003,6.045,1.395,13.019999999999998
Kelleher Rd E of Green Rd,12943.0,52,Urban,6.44,0.92,2.7600000000000002,1.84,2.7600000000000002
Kelleher Rd W of Green Rd,12968.0,52,Urban,7.36,1.3800000000000001,1.84,0.92,4.140000000000001
LaConner Whitney Rd N of Roundabout,21214.0,32,Urban,45.95499999999999,5.46,13.195,4.095,27.29999999999999
LaConner Whitney Rd S of SR20,1007.0,31,Urban,58.69499999999999,8.19,15.925,5.46,34.58
Lake Cavanaugh E of SR9,21253.0,62,Urban,11.500000000000002,1.8399999999999999,4.6,1.3800000000000001,5.060000000000002
Lake Cavanaugh Rd W of N Shore Rd,0.0,0,Urban,6.0,1.5,3.0,2.5,1.5
Lake Samish Rd W of Old Hwy 99 N,13075.0,62,Urban,44.620000000000005,13.8,9.66,3.68,21.160000000000004
Lake Samish W of Colony Rd,17045.0,62,Urban,31.280000000000005,6.9,8.74,4.140000000000001,15.640000000000002
Lake View Blvd S of W Big Lake Blvd,0.0,0,Urban,6.0,1.5,1.5,0.0,3.0
Laventure N of Div,18036.0,81,Urban,44.64000000000001,12.555,14.415000000000001,4.1850000000000005,17.67000000000001
Laventure N of Fir,3304.0,81,Urban,50.22000000000001,11.625,9.3,2.325,29.295000000000012
Laventure N of Sect,20470.0,81,Urban,69.28500000000001,19.995,20.459999999999997,2.325,28.83000000000001
Laventure NofCollway,3294.0,81,Urban,64.505,15.52,15.034999999999998,1.94,33.95
Laventure Rd North of Blackburn,21102.0,81,Urban,13.95,5.58,0.93,0.465,7.4399999999999995
Laventure S of Div,18109.0,81,Urban,40.92,11.16,13.020000000000001,3.72,16.740000000000002
Laventure S of Fir,18032.0,81,Urban,40.92000000000001,10.23,8.835,0.93,21.855000000000008
Laventure S of Hoag,2083.0,81,Urban,58.12500000000002,11.625,15.344999999999999,1.86,31.155000000000022
Laventure S of Sect,3582.0,81,Urban,61.845000000000006,17.205,10.695,0.93,33.94500000000001
Laventure SofCollWay,3309.0,81,Urban,70.32499999999999,14.065000000000001,18.43,2.91,37.82999999999999
Little Mountain Rd W of West Big Lake Rd,808.0,62,Urban,14.720000000000002,1.3800000000000001,5.98,0.46,7.360000000000001
Little Mountain Rd W of West Little Mountain Place,21090.0,32,Urban,6.75,1.8,2.25,0.45,2.7
Little Mtn Rd W of Little Mtn Pl,21090.0,32,Urban,7.6,0.95,2.85,0.0,3.7999999999999994
Longtime N Sapp,0.0,0,Urban,2.0,0.0,1.0,1.0,1.0
M Ave S of 32nd,20527.0,82,Urban,3.6,0.0,1.35,1.35,2.25
M Ave btwn 16 & 17,6272.0,82,Urban,2.25,0.45,0.0,0.0,1.8
M Ave-Nof32nd,20531.0,82,Urban,3.6,0.45,0.45,0.45,2.6999999999999997
